K_eff_GPa,eps_assoc_K,T_K,p_bar,N_mmol_g
0.3,300.0,298.0,0.0022637390492987737,0.04133620175068989
0.3,300.0,298.0,0.002972362794946059,0.05352135541030443
0.3,300.0,298.0,0.003902808756829234,0.06908654304651941
0.3,300.0,298.0,0.00512451448332012,0.08886918002106432
0.3,300.0,298.0,0.0067286537276022365,0.11387441480316414
0.3,300.0,298.0,0.008834940584779547,0.1452941553352027
0.3,300.0,298.0,0.01160056354458889,0.18452096284696795
0.3,300.0,298.0,0.015231916192382951,0.23315191033167812
0.3,300.0,298.0,0.020000000000000004,0.2929769871182747
0.3,300.0,298.0,0.02303273739264226,0.3290365805698016
0.3,300.0,298.0,0.026525349589921046,0.36891226576726177
0.3,300.0,298.0,0.030547570567634134,0.43391578264365294
0.3,300.0,298.0,0.03517970854337624,0.48504887327619706
0.3,300.0,298.0,0.04051424942146391,0.541029964746797
0.3,300.0,298.0,0.04665770337922934,0.6021267299648975
0.3,300.0,298.0,0.05373273146387932,0.6685953032407511
0.3,300.0,298.0,0.061880594659844954,0.7406766829019078
0.3,300.0,298.0,0.07126397432503748,0.8185930705352243
0.3,300.0,298.0,0.08207022030922942,0.902544183449025
0.3,300.0,298.0,0.09451509160693887,0.9927035742412244
0.3,300.0,298.0,0.10884706423120744,1.089214990145249
0.3,300.0,298.0,0.12535229231987327,1.1921888081808356
0.3,300.0,298.0,0.1443603215284684,1.361208603285766
0.3,300.0,298.0,0.1662506687841307,1.4828747229288401
0.3,300.0,298.0,0.1914603997728015,1.6117279730056067
0.3,300.0,298.0,0.22049285545286207,1.7477275088373072
0.3,300.0,298.0,0.25392770182998,1.8907695475563226
0.3,300.0,298.0,0.2924325036483547,2.280908319789228
0.3,300.0,298.0,0.33677605308027264,2.4545939655823896
0.3,300.0,298.0,0.3878437195364236,2.6349504961175385
0.3,300.0,298.0,0.44665512707340205,2.8215728661445
0.3,300.0,298.0,0.5143845123479462,3.014001251921476
0.3,300.0,298.0,0.5923841695876297,3.2117276814639375
0.3,300.0,298.0,0.6822114506835166,3.4142040474708435
0.3,300.0,298.0,0.785659859492348,3.6208511769889404
0.3,300.0,298.0,0.9047948611813732,3.8310685582541844
0.3,300.0,298.0,1.0419951215901386,4.0442442906717195
0.3,300.0,298.0,1.2,4.259764832168386
0.3,300.0,323.0,0.001,0.007672789824812928
0.3,300.0,323.0,0.0013130324344878836,0.010048336897703245
0.3,300.0,323.0,0.0017240541740171785,0.013149348089767273
0.3,300.0,323.0,0.0022637390492987737,0.017190781371784217
0.3,300.0,323.0,0.002972362794946059,0.022447218163769475
0.3,300.0,323.0,0.003902808756829234,0.02926713392996236
0.3,300.0,323.0,0.00512451448332012,0.03808951866183423
0.3,300.0,323.0,0.0067286537276022365,0.049462855692776635
0.3,300.0,323.0,0.008834940584779547,0.06406635795029832
0.3,300.0,323.0,0.01160056354458889,0.08273317651184114
0.3,300.0,323.0,0.015231916192382951,0.10647488867989563
0.3,300.0,323.0,0.020000000000000004,0.13650571946929976
0.3,300.0,323.0,0.02303273739264226,0.15501511238562046
0.3,300.0,323.0,0.026525349589921046,0.17582246181079325
0.3,300.0,323.0,0.030547570567634134,0.19917032760147713
