dF0_K,eps_assoc_K,T_K,p_bar,N_mmol_g
100.0,200.0,298.0,0.015231916192382951,0.1688029365028591
100.0,200.0,298.0,0.020000000000000004,0.21566250951182028
100.0,200.0,298.0,0.02288290047345013,0.24299153870630555
100.0,200.0,298.0,0.026181356703891212,0.27342707579663533
100.0,200.0,298.0,0.029955268985751946,0.3072498700172236
100.0,200.0,298.0,0.03427317194281946,0.34475157982502547
100.0,200.0,298.0,0.03921347912384905,0.3862321458061277
100.0,200.0,298.0,0.04486590700043761,0.43199653209055544
100.0,200.0,298.0,0.051333104227104166,0.4823508427222339
100.0,200.0,298.0,0.05873251575110334,0.537597849631288
100.0,200.0,298.0,0.06719851562439198,0.5980320009223984
100.0,200.0,298.0,0.07688484724982726,0.6639340102298725
100.0,200.0,298.0,0.08796741537671066,0.7355651578823201
100.0,200.0,298.0,0.10064748054859585,1.0907518897275124
100.0,200.0,298.0,0.11515531401485132,1.2017063638954908
100.0,200.0,298.0,0.131754379479537,1.3208489315476053
100.0,200.0,298.0,0.15074611762857124,1.4483284409975483
100.0,200.0,298.0,0.1724754203226801,1.5842339229789755
100.0,200.0,298.0,0.1973368938680183,1.7285893735336861
100.0,200.0,298.0,0.22578202510608278,1.881349767741487
100.0,200.0,298.0,0.2583273804598255,2.042398571696587
100.0,200.0,298.0,0.2955639868314636,2.2115469715692475
100.0,200.0,298.0,0.33816806471002536,2.3885349649533403
100.0,200.0,298.0,0.38691330840293764,2.5730343640967153
100.0,200.0,298.0,0.4426849364018869,2.7646536502775536
100.0,200.0,298.0,0.5064957670389989,2.9629445043974827
100.0,200.0,298.0,0.5795046113688597,3.1674097337754836
100.0,200.0,298.0,0.6630373172929507,3.3775122318711994
100.0,200.0,298.0,0.7586108470898982,3.592684556189115
100.0,200.0,298.0,0.8679608256018917,3.812338695055099
100.0,200.0,298.0,0.9930730593550847,4.035875615742041
100.0,200.0,298.0,1.1362195990043518,4.262694238753916
100.0,200.0,298.0,1.3,4.492199556611848
100.0,200.0,323.0,0.001,0.0054389748350848945
100.0,200.0,323.0,0.0013130324344878836,0.007132890495859849
100.0,200.0,323.0,0.0017240541740171785,0.009350919342832224
100.0,200.0,323.0,0.0022637390492987737,0.012252842866136465
100.0,200.0,323.0,0.002972362794946059,0.016045548464828988
100.0,200.0,323.0,0.003902808756829234,0.020995884362422924
100.0,200.0,323.0,0.00512451448332012,0.027446403118458494
100.0,200.0,323.0,0.0067286537276022365,0.03583430559929838
100.0,200.0,323.0,0.008834940584779547,0.04671375989360029
100.0,200.0,323.0,0.01160056354458889,0.06078154161108243
100.0,200.0,323.0,0.015231916192382951,0.07890559433829154
100.0,200.0,323.0,0.020000000000000004,0.10215557956640846
100.0,200.0,323.0,0.02288290047345013,0.11593553787618613
100.0,200.0,323.0,0.026181356703891212,0.13146338280529785
100.0,200.0,323.0,0.029955268985751946,0.14893581040428025
100.0,200.0,323.0,0.03427317194281946,0.16856637426554003
100.0,200.0,323.0,0.03921347912384905,0.19058580725072674
100.0,200.0,323.0,0.04486590700043761,0.21524205690506068
100.0,200.0,323.0,0.051333104227104166,0.24279995892039266
100.0,200.0,323.0,0.05873251575110334,0.27354046901219725
100.0,200.0,323.0,0.06719851562439198,0.30775937427965655
100.0,200.0,323.0,0.07688484724982726,0.34576541173640785
100.0,200.0,323.0,0.08796741537671066,0.3878777350279437
100.0,200.0,323.0,0.10064748054859585,0.43442269060757466
100.0,200.0,323.0,0.11515531401485132,0.4857298913803483
100.0,200.0,323.0,0.131754379479537,0.5421276079327934
100.0,200.0,323.0,0.15074611762857124,0.6039375332466291
100.0,200.0,323.0,0.1724754203226801,0.6714690140953566
100.0,200.0,323.0,0.1973368938680183,1.0008805436636279
